run,n_value,f_schumann_hz,f_golden_hz,latitude,longitude,depth_km,magnitude_mw,alpha_event,resonance_score,proximity_2027
1,17987.34970,7.87340,13962.08000,48.24900,-43.07500,34.10000,8.53000,8.05978,0.20978,0.20408
2,18346.73980,7.79720,14134.38000,23.17300,-88.37400,45.40000,9.38000,11.31580,3.46580,3.46010
3,18474.03150,7.51520,13816.08000,-38.34400,113.07200,27.30000,7.87000,7.87707,0.02707,0.02137
4,17191.12050,6.98740,13904.06000,32.17600,-46.23100,66.10000,9.01000,8.84185,0.99185,0.98615
5,18878.79370,8.30440,13890.52000,25.82300,175.58300,36.00000,8.71000,8.16863,0.31863,0.31293
6,17667.77340,7.64130,14161.32000,3.89300,173.29200,50.60000,8.89000,8.49255,0.64255,0.63685
7,19061.62460,7.75380,13258.65000,16.73100,-149.62100,90.90000,8.39000,7.94937,0.09937,0.09367
8,17991.66690,7.48440,13489.69000,-45.54200,27.88300,97.60000,8.82000,8.30838,0.45838,0.45268
9,18387.59190,7.60160,13532.66000,27.31300,-175.00700,33.50000,7.63000,7.83259,0.01741,0.01171
10,17698.66770,7.42070,13193.99000,25.56200,-61.54900,72.90000,8.83000,8.37894,0.52894,0.52324
11,19050.44800,7.80100,13735.41000,-6.84800,-41.50200,58.50000,7.60000,7.86472,0.01472,0.00902
12,17900.89300,7.87300,13524.80000,-47.25600,70.91200,58.30000,9.23000,9.86725,2.01725,2.01155
13,18033.79330,7.72900,13579.54000,-5.87800,-168.40100,6.80000,8.67000,8.16173,0.31173,0.30603
14,18134.30280,8.06460,12940.07000,37.95300,-155.17000,39.90000,8.81000,8.29096,0.44096,0.43526
15,18095.34720,7.27090,14157.14000,-14.11100,157.42000,49.00000,7.85000,7.89245,0.04245,0.03675
16,18396.73160,8.18580,13859.85000,29.33100,91.84700,53.70000,7.57000,7.88303,0.03303,0.02733
17,18591.37240,7.43910,13609.50000,-10.67300,-68.95600,63.40000,8.16000,7.91273,0.06273,0.05703
18,17571.93150,7.66770,14252.16000,-10.26200,133.09100,87.40000,7.92000,7.88947,0.03947,0.03377
19,17946.02130,7.47700,13132.89000,1.05500,-16.89500,83.60000,8.26000,7.93704,0.08704,0.08134
20,17925.48270,7.62240,13239.25000,-50.14500,-57.61400,73.70000,8.77000,8.27390,0.42390,0.41820
21,17465.63530,7.65210,14001.68000,-23.38600,112.84400,57.00000,7.70000,7.87069,0.02069,0.01499
22,18292.01850,8.01070,13460.63000,-19.98300,-46.69100,74.60000,9.05000,8.94712,1.09712,1.09142
23,19536.57860,8.78020,13627.60000,-43.01900,-83.80300,44.30000,8.64000,8.14047,0.29047,0.28477
24,17943.22310,7.42990,13527.24000,-18.96300,-80.95100,87.90000,9.28000,10.32536,2.47536,2.46966
25,18519.34330,7.77580,13640.38000,-26.43800,-36.60000,50.20000,8.89000,8.47411,0.62411,0.61841
26,17180.75970,7.01830,13616.59000,37.36800,-158.42000,95.20000,8.16000,7.86768,0.01768,0.01198
27,18074.32480,7.78640,13531.63000,21.71500,-67.59100,98.10000,8.33000,7.95171,0.10171,0.09601
28,18407.79680,7.89540,13835.20000,57.33300,-3.48100,12.10000,9.31000,10.56216,2.71216,2.70646
29,18023.69840,8.31930,13997.65000,-6.28500,-156.76600,15.40000,9.45000,12.27307,4.42307,4.41737
30,18987.29350,8.40250,13931.84000,14.38700,-142.80200,70.70000,7.70000,7.84982,0.00018,0.00552
31,19027.17810,8.34940,13952.78000,-17.25200,-46.60200,25.40000,7.91000,7.87152,0.02152,0.01582
32,18415.35620,7.91620,13711.51000,-39.38400,140.72100,60.20000,7.66000,7.89139,0.04139,0.03569
